"year","SSA","NSA","ALS","TBR","NBC","CBC","FS2","FS3","FS0","FSS","FHF","FCF","WVH","WVN","UGS","PPS","LGS","MGS","NKF","PSF","PSN","PSY","NKS","SKG","STL","SNO","WCH","WCN","WSH","CWS","SUM","URB","SPR","BON","CWF","LRW","LYF","MCB","NOC","MOC","YAK"
1979,12989,1865,20102,78046,35710,7030,12712,30350,31745,17585,115627,649,80585,8780,6459,1040,11877,12427,84234,47270,25179,9506,1837,22154,1042,14264,26304,30516,45881,23101,22476,89023,98106,54782,57388,29672,2618,4140,115459,28481,7842
1980,20700,2044,12742,113129,39209,7856,11185,22754,17636,17192,110794,639,105960,12407,3502,946,12989,9426,97939,53725,20873,9024,1797,27276,865,14684,26685,34367,58234,27592,21140,86839,105353,56429,56160,33572,2670,5357,98618,26750,6216
1981,13734,2663,8955,101977,38426,8226,7736,18850,17905,18679,103202,603,82601,7938,4256,905,9111,5907,91159,54049,17613,9070,1398,24173,744,11371,23951,34716,68209,35364,18375,67204,79524,39396,46213,30149,2748,5876,112442,22272,4956
1982,13889,2238,8305,56115,35639,10497,10110,21948,24225,23816,129001,545,156338,12343,6251,1100,6360,5998,97033,48716,18927,9971,790,22942,698,9899,20157,34274,65062,27797,14815,100227,122966,64667,65228,15950,2456,9265,103594,27529,4657
1983,23424,2441,10837,39616,59227,10306,5691,29808,29642,21093,159947,808,116991,8319,6159,1144,8077,7812,92073,47761,19868,8565,450,16411,473,9982,15662,30408,55858,27928,14933,65292,25927,47972,61087,16195,1634,12643,80605,24371,4931
1984,27819,2329,8730,54460,51004,11320,9658,38036,28426,21575,123129,1473,152483,10155,9935,792,5947,8119,115636,53517,20046,9175,427,14832,643,9534,16690,34499,88371,27462,15882,124502,45475,44023,45246,11174,1035,10554,152178,24775,5230
1985,33112,3446,6405,68576,57812,17224,13741,48387,36738,25546,144782,1148,126820,8475,8922,643,7622,15989,124348,56622,23622,12603,536,27992,1204,8699,21367,41779,73089,18017,18467,231721,34229,51402,60979,14600,1825,8935,116306,26381,5679
1986,35658,3327,10197,78633,69455,20443,15255,54933,41754,33381,182432,8861,77266,4978,13349,777,5436,13448,100118,59285,25498,13699,490,22659,1335,7351,30095,52085,71693,19638,19157,290986,15280,77406,116520,20492,2708,21893,102070,16692,6285
1987,33789,6162,12826,87586,142830,17379,9572,55108,31473,30337,86628,16103,111061,10364,16901,1026,7653,9975,67367,78036,30732,14604,524,13170,1246,6557,42472,63228,94011,35137,21640,394868,11510,162395,172902,38429,2778,59320,164830,39181,6144
1988,31141,5623,10563,84919,144555,15732,8371,47314,39463,30263,44776,16298,139135,12770,18532,1017,6173,6264,54071,94851,33680,14704,690,15327,918,6310,58958,81376,123777,30157,23917,376385,13217,87217,214761,35509,2924,92294,189594,45984,5352
1989,20252,5169,8767,94816,125941,15749,10891,42155,52388,23862,87335,4651,169663,9683,22955,1006,7726,12604,71216,103027,35203,22085,675,12692,825,6456,56603,80834,118327,20769,19847,214452,24754,35654,89309,46902,2056,79522,92308,35944,4934
1990,14867,9200,11442,96271,93410,15548,6297,42793,33722,31283,177464,4463,229373,8617,20991,1376,10180,11624,85174,88952,31546,26680,431,12562,1007,5015,49853,70871,112735,17714,18012,164135,20090,15345,35281,22708,997,51173,112045,30223,5037
1991,14244,8799,11051,109626,85002,22073,12089,38968,55450,27764,94552,17232,295260,11852,10305,1265,11923,13356,49889,64944,27330,25436,457,7687,1221,3872,50079,60247,140490,16717,15251,103911,51759,30003,25469,17012,1227,34603,114622,41965,5260
1992,10226,6480,8923,129885,120626,28986,12899,38516,47519,25236,126398,44890,242718,11735,7022,865,11259,9269,32055,50752,20604,16694,590,4757,891,3635,54551,55009,80216,22147,12109,74128,29114,38813,31473,10474,1402,28567,124559,41896,5780
1993,14687,9067,10992,125701,105727,28188,21818,45886,35606,23626,128623,19779,277786,14529,4582,497,4383,7691,31797,55911,16157,9956,536,3566,712,3893,55293,52877,69316,17449,12615,94162,16648,23106,34858,14515,1252,34070,94258,40361,7501
1994,13911,11369,13700,86239,157289,20812,21529,56080,46969,23712,112147,7380,154185,8962,5034,353,8181,8424,29240,74884,16065,10383,398,2880,794,3865,45231,46051,53519,9973,12936,129127,18784,18860,27483,10824,1179,32523,130301,34272,10414
1995,10853,8432,22680,94694,73531,14561,27860,51014,48023,30393,35851,43438,79879,8131,4070,291,18236,7930,26396,92198,17099,12372,505,4035,906,4089,44994,47921,47017,4095,12846,110888,33335,14281,28594,20735,1225,31858,115853,63948,12103
