"year","SSA","NSA","ALS","TBR","NBC","CBC","FS2","FS3","FS0","FSS","FHF","FCF","WVH","WVN","UGS","PPS","LGS","MGS","NKF","PSF","PSN","PSY","NKS","SKG","STL","SNO","WCH","WCN","WSH","CWS","SUM","URB","SPR","BON","CWF","LRW","LYF","MCB","NOC","MOC","YAK"
1979,12989,1865,18561,73373,31844,5413,10292,18055,24455,12816,111973,509,74574,8196,6459,1040,11179,12283,38089,27861,13376,6171,1782,17580,996,13921,15969,21838,34819,11739,15653,38341,18055,40943,40574,22686,500,3079,71401,20256,7364
1980,20700,2044,11760,105949,34912,6053,9057,13564,14416,12566,107385,502,89017,10466,3502,946,12242,9302,44278,31512,11065,5987,1742,21376,828,14368,16337,24587,45351,14007,11470,37715,34775,41628,40173,26239,466,4218,61157,18951,5827
1981,13734,2663,8255,94769,34157,6348,6238,11749,14683,13777,100028,469,75630,7148,4256,905,8588,5817,40867,30717,9814,6027,1351,19065,710,11121,14705,24850,53885,17998,7650,27297,19155,29278,33094,23558,351,4543,69112,15748,4652
1982,13889,2238,7624,51847,31865,8298,4790,14762,10105,10526,111790,501,136572,10625,6251,1100,6003,5918,44196,28537,11020,6772,765,17954,668,9667,13527,23676,32200,15884,7342,44123,36227,41077,37861,13883,507,6047,64242,19770,4384
1983,23424,2441,10332,34240,53511,7848,3547,21951,20456,15817,145350,750,96452,6826,6159,1144,7787,7699,42639,27690,9997,5805,435,13046,453,9754,12743,18982,26018,13693,8302,32066,10614,39676,51978,14301,485,8460,67113,21497,4727
1984,27819,2329,8204,51103,46440,9104,7683,31657,13007,12969,112169,1321,117724,7822,9935,792,5716,8024,55656,29790,9591,5914,414,12988,608,9319,13334,23154,48265,13408,10326,57981,10043,27258,28274,7501,603,5701,128485,21028,5068
1985,33112,3446,6030,64322,51366,15338,11208,41401,25534,17483,139637,911,121800,8145,8922,643,7070,15752,59127,30942,11614,7688,519,22554,1150,8516,15228,36837,39580,10684,13389,136179,7668,41944,49949,11680,487,6223,95726,25436,5459
1986,35658,3327,9852,73052,64004,17035,12258,49338,28828,25748,165038,8042,75280,4846,13349,777,5018,13266,47654,33417,13139,8302,475,19432,1282,7207,23340,36456,37151,10923,16166,136587,3467,41593,79250,13721,144,10001,76331,13855,6206
1987,33789,6162,12161,80941,132788,15443,6894,47521,24415,26243,84314,14658,109633,10227,16901,1026,7129,9860,31467,44185,16648,7962,509,11020,1200,6431,35907,48484,50745,18221,16754,126706,5595,61834,56506,22600,538,17733,129995,34616,5877
1988,31141,5623,10086,79922,134592,14162,6136,41849,32534,26632,42312,14416,129626,11810,18532,1017,5901,6196,25748,50349,18884,8408,671,13143,883,6175,41578,52731,64585,19098,16054,161928,5417,16379,96300,16595,89,29968,153907,38480,5106
